video_id,comment_thread_id,comment_id,comment_text,author,published_date,like_count,reply_count,parent_id,timestamp,mentions,title
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1Zya5VEo9S,😂😂,gartholamu7916,2024-03-29T14:10:05Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 14:10:05+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_492bYl2b,"Well unlike the USA they don’t have the death penalty, but I wonder if this will be the excuse to bring it back",glasgowmcglasgowfacevotegr7049,2024-03-29T15:07:26Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 15:07:26+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_Ce-VLStV,@@joebenson528 the one where it happened,user-oh7tn1bu3r,2024-03-29T16:21:42Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1ZBJDkP9N5,2024-03-29 16:21:42+00:00,joebenson528,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_GVOevC-3,Which is worse standing before God to be judged for your crimes or russian authorities.,jackmayor4905,2024-03-29T16:55:20Z,0,2,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 16:55:20+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_JefU4Sb7,@@kskid4life nobody in the west is worried stop fooling yourself,chrisbal4882,2024-03-29T17:22:57Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1UoRt1MKE1,2024-03-29 17:22:57+00:00,kskid4life,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_P-Ty_wom,"So Isis went to mr. Biden and said "" we are planning a big thing  in Moscow, can you please warn mr. Putin?""....😅😅​@D3cepti0ns",sabinezimmermann7985,2024-03-29T18:09:37Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OePxbIeZR,2024-03-29 18:09:37+00:00,D3cepti0ns,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_PPINqGJi,​@@user-oh7tn1bu3rreally! Joe Biden a d his Marxist clan?,chrisbohanon403,2024-03-29T18:13:09Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 18:13:09+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_PdMfy9k2,​@@notoriousjel yeah right 😂😂😂,jessiesoto,2024-03-29T18:15:12Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OdL7T7LQu,2024-03-29 18:15:12+00:00,notoriousjel,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_PlUduGjo,​@@pz-wv8kbthat True,jessiesoto,2024-03-29T18:16:19Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 18:16:19+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_Pn_K-Yv0,@@jackmayor4905 easily' by God you get a fair hearing'.,user-oh7tn1bu3r,2024-03-29T18:16:36Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_GVOevC-3,2024-03-29 18:16:36+00:00,jackmayor4905,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
